feature_X,feature_X_num,age,cpi_sum,unique_users,payers_cumsum,revenue_cumsum,rpi,roas,c2p,cpa,cpi,arppu
B0,0,1.0,4636846.09,471283,3325.0,36645.674466000004,0.07775725936645286,0.007903146611881613,0.007055208866010444,1394.5401774436089,9.838772223907927,11.021255478496242
B0,0,2.0,4636846.09,471283,6712.0,91760.319797,0.19470322459541295,0.019789382268886137,0.01424197350636454,690.8292744338498,9.838772223907927,13.671084594308702
B0,0,3.0,4636846.09,471283,8801.0,139461.108324,0.29591796929657976,0.03007671715150675,0.01867455435481441,526.8544585842518,9.838772223907927,15.846052530848768
B0,0,4.0,4636846.09,471283,10280.0,182908.067933,0.38810665339721573,0.039446654985479584,0.02181279613310898,451.05506712062254,9.838772223907927,17.792613612159535
B0,0,5.0,4636846.09,471283,11467.0,221943.949223,0.4709356145309718,0.04786528276227517,0.024331452651591506,404.36435772215924,9.838772223907927,19.355014321356936
B0,0,6.0,4636846.09,471283,12518.0,261227.313798,0.5542897023614262,0.05633728373287456,0.026561535213449245,370.414290621505,9.838772223907927,20.868134989455182
B0,0,7.0,4636846.09,471283,13360.0,300828.320486,0.6383177846134912,0.06487778861903092,0.02834814750372918,347.06931811377245,9.838772223907927,22.517089856736526
B0,0,8.0,4636846.09,471283,14187.0,341054.032581,0.7236714088583718,0.07355301986764888,0.030102931784087267,326.83767463170506,9.838772223907927,24.039897975681964
B0,0,9.0,4636846.09,471283,14828.0,378393.626068,0.8029010723238479,0.08160581971527117,0.031463048741414396,312.70880024278387,9.838772223907927,25.518857975991367
B0,0,10.0,4636846.09,471283,15359.0,413389.680703,0.8771580572670773,0.08915320299169129,0.03258976029264794,301.8976554463181,9.838772223907927,26.91514295872127
B0,0,11.0,4636846.09,471283,15811.0,447841.043289,0.9502592779476451,0.09658311589311347,0.03354884432495974,293.26709822275626,9.838772223907927,28.32465013528556
B0,0,12.0,4636846.09,471283,16257.0,481645.150458,1.0219871085059296,0.10387343921048715,0.03449519715330279,285.2215101187181,9.838772223907927,29.62693919284001
B0,0,13.0,4636846.09,471283,16727.0,515889.879126,1.094649879427011,0.11125878864916132,0.03549247479752081,277.2072750642673,9.838772223907927,30.841745628385244
B0,0,14.0,4636846.09,471283,17154.0,552275.458575,1.1718552516746839,0.11910584217277742,0.03639851214662952,270.306989040457,9.838772223907927,32.19514157485135
B0,0,15.0,4636846.09,471283,17540.0,589647.752434,1.2511543009911243,0.1271656943079601,0.03721755293528517,264.3583859749145,9.838772223907927,33.6173176986317
B0,0,16.0,4636846.09,471283,17880.0,626911.16763,1.3302223242298152,0.1352020652533671,0.03793898782684714,259.33143680089483,9.838772223907927,35.06214584060403
B0,0,17.0,4636846.09,471283,18147.0,661729.068766,1.4041012910841257,0.14271102726336127,0.0385055264034561,255.51584779853417,9.838772223907927,36.464929121397475
B0,0,18.0,4636846.09,471283,18451.0,695760.463813,1.476311396364817,0.15005036835565963,0.039150574071205625,251.30595035499428,9.838772223907927,37.708550420736
B0,0,19.0,4636846.09,471283,18700.0,729650.14778,1.548220809534823,0.15735914749329108,0.03967891903590836,247.95968395721926,9.838772223907927,39.018724480213905
B0,0,20.0,4636846.09,471283,18957.0,762626.631328,1.6181925325717244,0.16447098232842144,0.04022423893923609,244.59809516273668,9.838772223907927,40.22928898707601
B0,0,21.0,4636846.09,471283,19190.0,797393.94747,1.691964164779973,0.17196903498472602,0.04071863402668885,241.62824856696193,9.838772223907927,41.55257673110995
B0,0,22.0,4636846.09,471283,19449.0,834685.648536,1.7710922068820647,0.18001150616927208,0.041268197664672816,238.41051416525272,9.838772223907927,42.91663574147771
B0,0,23.0,4636846.09,471283,19653.0,867605.818096,1.8409444391077123,0.18711119611390856,0.04170105859961,235.9357904645601,9.838772223907927,44.14622795990434
B0,0,24.0,4636846.09,471283,19819.0,901505.212347,1.912874456212085,0.1944220694086053,0.04205328857607849,233.95963923507745,9.838772223907927,45.48691721817448
B0,0,25.0,4636846.09,471283,19992.0,933930.34638,1.9816762887267312,0.20141499809410324,0.04242037162384385,231.93507853141253,9.838772223907927,46.715203400360146
B0,0,26.0,4636846.09,471283,20142.0,966822.683909,2.0514694650751246,0.20850868567625888,0.04273865172306236,230.20782891470557,9.838772223907927,48.00033183939033
B0,0,27.0,4636846.09,471283,20308.0,999637.338478,2.1210978084887424,0.21558561985351557,0.043090881699530854,228.32608282450266,9.838772223907927,49.22382009444554
B0,0,28.0,4636846.09,471283,20453.0,1034019.369155,2.1940519160568064,0.22300058036970555,0.043398552462108754,226.70738229110643,9.838772223907927,50.55587782501345
B0,0,29.0,4636846.09,471283,20613.0,1068386.851017,2.266975152969659,0.23041240323268955,0.043738051234608506,224.94765875903553,9.838772223907927,51.830730656236355
B0,0,30.0,4636846.09,471283,20759.0,1101879.23352,2.3380415451437884,0.23763549881380688,0.044047843864514526,223.36558071198033,9.838772223907927,53.079591190327086
B0,0,31.0,4636846.09,471283,20899.0,1134138.566863,2.406491570591343,0.24459267028701398,0.04434490529045181,221.869280348342,9.838772223907927,54.26759973505909
B0,0,32.0,4636846.09,471283,21021.0,1164524.508199,2.4709665067464774,0.25114581885960335,0.044603773104482866,220.58161314875602,9.838772223907927,55.398149859616574
B0,0,33.0,4636846.09,471283,21147.0,1195418.4863,2.53651942951475,0.25780853258814984,0.04487112838782642,219.2673234974228,9.838772223907927,56.52898691540171
B0,0,34.0,4636846.09,471283,21277.0,1227575.554878,2.604752462698633,0.26474364925017385,0.04514697114048247,217.92762560511352,9.838772223907927,57.69495487512337
B0,0,35.0,4636846.09,471283,21398.0,1260374.549574,2.6743475779393697,0.27181720615919774,0.04540371708718541,216.69530283204037,9.838772223907927,58.90151180362651
B0,0,36.0,4636846.09,471283,21503.0,1292064.659304,2.7415897864001035,0.27865161668628946,0.04562651315663837,215.63717109240568,9.838772223907927,60.08764634255685
